work_order_id,failure_event_id,asset_id,tag,area,work_order_type,priority,status,raised_date,scheduled_date,completed_date,reported_by,assigned_to,supervisor,work_description,findings,actions_taken,parts_replaced,labor_hours,downtime_hours,production_loss_bbl,scenario_id
WO-01001,FE-0002,AREA-HP-SEP:P-101,P-101,AREA-HP-SEP,CORRECTIVE,HIGH,COMPLETED,2025-11-10 07:00:00Z,2025-11-10 09:00:00Z,2025-11-12 07:00:00Z,Priya Patel,Carlos Mendez,Patricia Walsh,"P-101A pump trip — high vibration alarm, motor overcurrent protection activated. Pump shutdown required for bearing inspection.",Drive-end bearing found completely failed — extensive spalling on inner race. Grease nipple found blocked. Bearing NDE also shows significant fatigue marks. Shaft seal showed minor weeping.,Replace Drive End and Non-Drive End bearings; flush and refill bearing housing with Shell Gadus S2 V220 2 grease; re-establish 2-weekly lubrication schedule,SKF 6316-2RS1 bearing x2; bearing housing seal x1,12,48,180,SC-001
WO-01002,FE-0003,AREA-LP-COMP:K-201,K-201,AREA-LP-COMP,EMERGENCY,CRITICAL,COMPLETED,2025-11-25 07:00:00Z,2025-11-25 09:00:00Z,2025-11-26 07:00:00Z,Ahmed Al-Rashid,Erik Larsen,Patricia Walsh,K-201 LP Compressor surge event — compressor tripped on surge protection after multiple surge cycles. High suction scrubber level alarm coincided with surge onset. K-202 started from standby.,Liquid traces found in compressor casing and on impeller stages. LCV-101 (scrubber level control valve) found with failed actuator diaphragm — valve stuck 70% open. Mist eliminator heavily loaded with liquid.,Overhaul LCV-101 actuator and positioner; clean scrubber mist eliminator; recalibrate surge controller setpoints; update operating procedure,LCV-101 actuator diaphragm; positioner feedback arm; scrubber mist eliminator pad,28,22,320,SC-002
WO-01003,FE-0004,AREA-WATER:E-301,E-301,AREA-WATER,CORRECTIVE,MEDIUM,COMPLETED,2026-02-04 07:00:00Z,2026-02-04 09:00:00Z,2026-02-07 07:00:00Z,James Mackenzie,Ahmed Al-Rashid,David Chen,E-301 produced water cooler performance degradation — outlet temperature trending 15°C above design value over past 90 days. Approach temperature analysis confirms fouling factor exceeds TEMA limit. Scheduled for offline cleaning.,Heavy calcium carbonate scale (2-4mm thick) on shell-side tube OD. Flow distribution affected — first 3 baffles blocked >60%. Scale inhibitor injection pump found under-dosing by ~30% due to plugged check valve.,Chemical descaling with 15% HCl solution; hydroblast tube bundle; re-assess scale inhibitor dosing rate (increase by 25%); install differential pressure indicator across bundle for early detection,Tube bundle gaskets x4; inlet nozzle isolation valve packing,16,24,0,SC-003
WO-01004,FE-0005,AREA-UTIL:PT-145,PT-145,AREA-UTIL,CORRECTIVE,LOW,COMPLETED,2025-12-16 07:00:00Z,2025-12-16 09:00:00Z,2026-01-07 07:00:00Z,Ahmed Al-Rashid,James Mackenzie,Karen Nilsson,PT-145 export header pressure transmitter reading discrepancy — PT-145 reading 8-12 bar above PT-146 (redundant). Zero drift pattern confirmed over 5 days of trending. Transmitter flagged as BAD ACTOR.,Fill fluid leakage from diaphragm capillary confirmed. Diaphragm face shows micro-pitting consistent with H2S stress corrosion cracking. Wetted materials review recommended for entire PT-145 series batch.,Replace PT-145 with Emerson 3051S HART transmitter; upgrade wetted materials to Alloy 400; review remaining pressure transmitters for same diaphragm batch,Emerson 3051S pressure transmitter; impulse tubing; isolation valve,3,4,0,SC-004
WO-01005,FE-0006,AREA-WATER:P-303,P-303,AREA-WATER,CORRECTIVE,HIGH,COMPLETED,2026-01-20 07:00:00Z,2026-01-20 09:00:00Z,2026-01-20 13:00:00Z,Priya Patel,Linda Olsen,David Chen,"P-303 cooling water pump trip — seal failure with loss of CW flow. Downstream heat exchangers showing rapid temperature rise. P-304 standby pump started immediately. Cascade temperature rise observed on E-301, E-201A/B within 20 minutes.",Dual mechanical seal found completely failed. O-ring elastomer shows swelling and cracking consistent with thermal cycling and possible dry-run. Suction strainer 40% blocked — contributing to reduced NPSH and potential cavitation/dry run events during low tide.,Replace dual mechanical seal assembly with upgraded AISI 316 faces; install low-suction-pressure trip at 0.3 bar; review suction vessel level control,John Crane Type 21 mechanical seal assembly; shaft sleeve; impeller wear rings,8,6,0,SC-005
WO-01006,FE-0007,AREA-UTIL:FAC-001,FAC-001,AREA-UTIL,PREVENTIVE,PLANNED,COMPLETED,2026-02-07 07:00:00Z,2026-02-07 09:00:00Z,2026-02-26 07:00:00Z,Priya Patel,Carlos Mendez,David Chen,"Annual Turnaround AT2024 — statutory facility-wide inspection and maintenance programme. Includes: all PSV bench testing, vessel internal inspections, ESD and HIPPS functional testing, heat exchanger bundle removals, rotating equipment overhauls, NDT programme, electrical thermography.",All safety-critical items passed. 3x corrosion allowance reductions noted on HP separator V-101 nozzles — engineer assessment required. Generator G-401 found with worn fuel injectors replaced proactively. Flare tip burn-out confirmed — replacement scheduled for AT2025.,"Complete all planned maintenance activities per turnaround scope: vessel inspections, PSV testing, relief valve overhauls, instrumentation calibration, electrical thermography",Multiple — see Turnaround Final Report AT2024-RPT-001,840,120,5600,SC-006
WO-01007,FE-0008,AREA-EXPORT:P-501,P-501,AREA-EXPORT,EMERGENCY,CRITICAL,COMPLETED,2026-03-15 07:00:00Z,2026-03-15 09:00:00Z,2026-03-15 13:30:00Z,Astrid Johanssen,Sean Murphy,David Chen,"SAFETY EVENT — Gas release on export header. Fixed gas detector GD-501 activated at 20% LEL. ESD activated. Personnel evacuation initiated. Source identified as 8"" export header weld neck flange NPA-EXP-FLG-047. Area declared safe after 45 minutes; ESD reset and restart commenced.",Spiral wound gasket blowout at flange NPA-EXP-FLG-047. Flange faces found with H2S pitting — material loss up to 0.4mm. Previous maintenance records show gasket installed during AT2023; over-torquing noted (bolts found at 125% of spec). HSE near-miss report NM-2024-047 raised.,Replace spiral wound gasket with ASME B16.20 Inconel 825 ring gasket; dress flange faces; re-torque to specification using calibrated torque wrench; update bolting procedure to include anti-seize compound,Spiral wound gasket x1; flange bolting set x1; GD-501 sensor cartridge,14,6.5,2100,SC-007
WO-01008,,AREA-HP-SEP:P-101,P-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2025-10-27 07:00:00Z,2025-11-03 07:00:00Z,2025-11-03 08:14:27Z,CMMS Auto-generated,Marco Ferretti,Brian Thorpe,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,Gasket set,1.2,0,0,
WO-01009,,AREA-HP-SEP:P-101,P-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 08:13:45Z,CMMS Auto-generated,Ahmed Al-Rashid,Karen Nilsson,Centrifugal pump lubrication and vibration check,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Centrifugal pump lubrication and vibration check,Filter elements,1.2,0,0,
WO-01010,,AREA-HP-SEP:P-101,P-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:15:03Z,CMMS Auto-generated,Linda Olsen,Karen Nilsson,Centrifugal pump lubrication and vibration check,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,Centrifugal pump lubrication and vibration check,O-ring set,1.3,0,0,
WO-01011,,AREA-HP-SEP:P-101,P-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 08:12:42Z,CMMS Auto-generated,James Mackenzie,David Chen,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,Gasket set,1.2,0,0,
WO-01012,,AREA-HP-SEP:P-101,P-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-02-24 07:00:00Z,2026-03-03 07:00:00Z,2026-03-03 08:52:03Z,CMMS Auto-generated,Astrid Johanssen,Karen Nilsson,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,Filter elements,1.9,0,0,
WO-01013,,AREA-HP-SEP:P-101,P-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 08:40:56Z,CMMS Auto-generated,Priya Patel,Patricia Walsh,Centrifugal pump lubrication and vibration check,Coupling alignment checked — within 0.05mm tolerance.,Centrifugal pump lubrication and vibration check,Filter elements,1.7,0,0,
WO-01014,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2025-10-27 07:00:00Z,2025-11-03 07:00:00Z,2025-11-03 08:54:41Z,CMMS Auto-generated,Carlos Mendez,David Chen,Centrifugal pump lubrication and vibration check,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Centrifugal pump lubrication and vibration check,Gasket set,1.9,0,0,
WO-01015,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 08:33:21Z,CMMS Auto-generated,Marco Ferretti,David Chen,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,Gasket set,1.6,0,0,
WO-01016,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:49:00Z,CMMS Auto-generated,James Mackenzie,Karen Nilsson,Centrifugal pump lubrication and vibration check,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,Centrifugal pump lubrication and vibration check,None,1.8,0,0,
WO-01017,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 08:49:15Z,CMMS Auto-generated,Carlos Mendez,Karen Nilsson,Centrifugal pump lubrication and vibration check,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,Centrifugal pump lubrication and vibration check,None,1.8,0,0,
WO-01018,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-02-24 07:00:00Z,2026-03-03 07:00:00Z,2026-03-03 08:13:08Z,CMMS Auto-generated,Ahmed Al-Rashid,David Chen,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,None,1.2,0,0,
WO-01019,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 08:52:21Z,CMMS Auto-generated,Priya Patel,Patricia Walsh,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,Filter elements,1.9,0,0,
WO-01020,,AREA-LP-COMP:K-201,K-201,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 11:28:19Z,CMMS Auto-generated,Sean Murphy,Karen Nilsson,Compressor vibration analysis and oil sample,All parameters within acceptable limits. Lubrication topped up.,Compressor vibration analysis and oil sample,Filter elements,4.5,0,0,
WO-01021,,AREA-LP-COMP:K-201,K-201,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 11:58:54Z,CMMS Auto-generated,Carlos Mendez,Patricia Walsh,Compressor vibration analysis and oil sample,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Compressor vibration analysis and oil sample,None,5.0,0,0,
WO-01022,,AREA-LP-COMP:K-201,K-201,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 10:41:04Z,CMMS Auto-generated,Ahmed Al-Rashid,Patricia Walsh,Compressor vibration analysis and oil sample,No defects found. Equipment in satisfactory condition.,Compressor vibration analysis and oil sample,None,3.7,0,0,
WO-01023,,AREA-LP-COMP:K-202,K-202,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 10:51:11Z,CMMS Auto-generated,Linda Olsen,Brian Thorpe,Compressor vibration analysis and oil sample,Instrument calibration checked — within ±0.5% of span.,Compressor vibration analysis and oil sample,Gasket set,3.9,0,0,
WO-01024,,AREA-LP-COMP:K-202,K-202,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 11:25:15Z,CMMS Auto-generated,Sean Murphy,Karen Nilsson,Compressor vibration analysis and oil sample,Coupling alignment checked — within 0.05mm tolerance.,Compressor vibration analysis and oil sample,Gasket set,4.4,0,0,
WO-01025,,AREA-LP-COMP:K-202,K-202,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 11:18:15Z,CMMS Auto-generated,Carlos Mendez,David Chen,Compressor vibration analysis and oil sample,Instrument calibration checked — within ±0.5% of span.,Compressor vibration analysis and oil sample,Filter elements,4.3,0,0,
WO-01026,,AREA-WATER:E-301,E-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:41:28Z,CMMS Auto-generated,Priya Patel,Patricia Walsh,HX differential pressure and performance check,Coupling alignment checked — within 0.05mm tolerance.,HX differential pressure and performance check,None,1.7,0,0,
WO-01027,,AREA-WATER:E-301,E-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 08:45:03Z,CMMS Auto-generated,Astrid Johanssen,Patricia Walsh,HX differential pressure and performance check,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,HX differential pressure and performance check,Filter elements,1.8,0,0,
WO-01028,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-10-27 07:00:00Z,2025-11-03 07:00:00Z,2025-11-03 08:37:01Z,CMMS Auto-generated,Fiona Stewart,Patricia Walsh,PW transfer pump check and seal inspection,Instrument calibration checked — within ±0.5% of span.,PW transfer pump check and seal inspection,None,1.6,0,0,
WO-01029,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 08:51:11Z,CMMS Auto-generated,Ahmed Al-Rashid,Karen Nilsson,PW transfer pump check and seal inspection,All parameters within acceptable limits. Lubrication topped up.,PW transfer pump check and seal inspection,Filter elements,1.9,0,0,
WO-01030,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:42:41Z,CMMS Auto-generated,Sean Murphy,Patricia Walsh,PW transfer pump check and seal inspection,All parameters within acceptable limits. Lubrication topped up.,PW transfer pump check and seal inspection,O-ring set,1.7,0,0,
WO-01031,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 08:42:49Z,CMMS Auto-generated,Priya Patel,Karen Nilsson,PW transfer pump check and seal inspection,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,PW transfer pump check and seal inspection,Gasket set,1.7,0,0,
WO-01032,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-02-24 07:00:00Z,2026-03-03 07:00:00Z,2026-03-03 09:34:30Z,CMMS Auto-generated,Ahmed Al-Rashid,Karen Nilsson,PW transfer pump check and seal inspection,No defects found. Equipment in satisfactory condition.,PW transfer pump check and seal inspection,None,2.6,0,0,
WO-01033,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 09:01:45Z,CMMS Auto-generated,Priya Patel,Patricia Walsh,PW transfer pump check and seal inspection,All parameters within acceptable limits. Lubrication topped up.,PW transfer pump check and seal inspection,None,2.0,0,0,
WO-01034,,AREA-WATER:P-303,P-303,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-10-27 07:00:00Z,2025-11-03 07:00:00Z,2025-11-03 08:27:51Z,CMMS Auto-generated,Priya Patel,Brian Thorpe,Cooling water pump vibration check and strainer clean,All parameters within acceptable limits. Lubrication topped up.,Cooling water pump vibration check and strainer clean,Gasket set,1.5,0,0,
WO-01035,,AREA-WATER:P-303,P-303,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 08:34:09Z,CMMS Auto-generated,Erik Larsen,Karen Nilsson,Cooling water pump vibration check and strainer clean,Coupling alignment checked — within 0.05mm tolerance.,Cooling water pump vibration check and strainer clean,Filter elements,1.6,0,0,
WO-01036,,AREA-WATER:P-303,P-303,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:51:28Z,CMMS Auto-generated,Erik Larsen,David Chen,Cooling water pump vibration check and strainer clean,Instrument calibration checked — within ±0.5% of span.,Cooling water pump vibration check and strainer clean,Filter elements,1.9,0,0,
